sample_id,authentic_path,manipulated_path,mask_path,manipulation_type
001,data/original/kodim16.png,data/manipulated/kodim16_fake.png,data/masks/kodim16_mask.png,copy_move
002,data/original/kodim06.png,data/manipulated/kodim06_fake.png,data/masks/kodim06_mask.png,copy_move
003,data/original/kodim19.png,data/manipulated/kodim19_fake.png,data/masks/kodim19_mask.png,copy_move
004,data/original/kodim24.png,data/manipulated/kodim24_fake.png,data/masks/kodim24_mask.png,copy_move
005,data/original/kodim14.png,data/manipulated/kodim14_fake.png,data/masks/kodim14_mask.png,copy_move
006,data/original/kodim11.png,data/manipulated/kodim11_fake.png,data/masks/kodim11_mask.png,copy_move
007,data/original/kodim18.png,data/manipulated/kodim18_fake.png,data/masks/kodim18_mask.png,copy_move
008,data/original/kodim12.png,data/manipulated/kodim12_fake.png,data/masks/kodim12_mask.png,copy_move
009,data/original/kodim15.png,data/manipulated/kodim15_fake.png,data/masks/kodim15_mask.png,copy_move
010,data/original/kodim17.png,data/manipulated/kodim17_fake.png,data/masks/kodim17_mask.png,copy_move
011,data/original/kodim02.png,data/manipulated/kodim02_fake.png,data/masks/kodim02_mask.png,copy_move
012,data/original/kodim13.png,data/manipulated/kodim13_fake.png,data/masks/kodim13_mask.png,copy_move
013,data/original/kodim22.png,data/manipulated/kodim22_fake.png,data/masks/kodim22_mask.png,copy_move
014,data/original/kodim07.png,data/manipulated/kodim07_fake.png,data/masks/kodim07_mask.png,copy_move
015,data/original/kodim10.png,data/manipulated/kodim10_fake.png,data/masks/kodim10_mask.png,copy_move
016,data/original/kodim03.png,data/manipulated/kodim03_fake.png,data/masks/kodim03_mask.png,copy_move
017,data/original/kodim23.png,data/manipulated/kodim23_fake.png,data/masks/kodim23_mask.png,copy_move
018,data/original/kodim05.png,data/manipulated/kodim05_fake.png,data/masks/kodim05_mask.png,copy_move
019,data/original/kodim20.png,data/manipulated/kodim20_fake.png,data/masks/kodim20_mask.png,copy_move
020,data/original/kodim08.png,data/manipulated/kodim08_fake.png,data/masks/kodim08_mask.png,copy_move
